OUTPUT FOR THE FILE WITH PYGRAPHVIZ:


vista% python a2Part2.py
gen     nevals  avg     std     min     max    
0       1000    13.0126 3.04102 7.53218 73.0433
1       548     12.0561 2.52436 7.53218 55.967 
2       518     11.3171 1.61608 6.54182 20.052 
3       578     11.1112 2.48255 5.45855 49.9489
4       582     10.8486 2.59573 6.58156 35.9158
5       588     11.0257 4.19239 3.71321 49.7459
6       524     10.6706 4.75654 3.71321 99.1906
7       526     10.7513 6.4812  3.71321 95.329 
8       545     10.7967 6.58516 3.71321 89.2501
9       558     11.4352 9.33028 3.71321 131.785
10      559     10.4674 6.60489 3.71321 80.139 
11      561     11.0603 9.61057 3.30222 120.123
12      528     11.0837 11.3411 3.30222 169.423
13      549     9.95772 8.43496 3.30222 128.584
14      550     9.92843 11.0576 1       223.117
15      574     10.085  13.6269 1       280.017
16      572     9.61725 9.73025 1       106.323
17      522     8.7549  9.05184 1       109.743
18      550     8.30922 8.72316 1       83.9962
19      593     9.43173 11.4403 1       113.193
20      551     8.35273 10.2906 1       122.891
21      557     7.84828 9.13548 1       90.0164
22      576     9.1414  15.6381 1       336.568
23      576     8.95913 13.2276 0.999998        136.198
24      580     9.69421 17.7887 1               229.8  
25      532     8.93382 15.5562 1               156.667
26      581     10.7483 18.2873 1               178.473
27      554     9.73931 15.8461 0.999998        156.667
28      567     9.08422 14.3332 0.999998        222.637
29      532     9.43926 15.7072 0.999998        157.264
30      531     7.94136 12.9776 0.999998        156.667
31      568     9.26899 14.6151 2.65165e-06     139.556
32      571     8.38236 13.8729 2.65165e-06     192.614
33      559     8.57317 18.0924 2.65165e-06     339.064
34      546     9.78001 22.2002 2.65165e-06     412.715
35      540     8.18452 14.5269 2.65165e-06     156.667
36      534     7.97825 13.7826 2.65165e-06     158.835
37      569     8.42997 14.9433 2.65165e-06     137.321
38      527     7.80725 16.0637 2.65165e-06     192.138
39      546     7.21913 13.2981 2.65165e-06     121.523
40      554     7.37763 19.1242 2.65165e-06     345.561
41      526     7.16033 16.7362 2.65165e-06     177.775
42      556     6.99927 16.0656 2.65165e-06     139.659
43      594     7.28229 16.3631 2.65165e-06     137.321
44      542     6.25215 18.1639 2.65165e-06     325.253
45      551     6.36093 16.7561 2.65165e-06     165.819
46      558     6.30165 16.8597 2.65165e-06     236.943
47      537     6.44534 14.2673 2.65165e-06     141.625
48      552     7.08898 16.9956 2.65165e-06     164.626
49      574     7.20534 18.237  2.65165e-06     188.517
50      585     7.21075 17.1203 2.65165e-06     137.321
51      568     6.62922 14.9253 2.65165e-06     137.321
52      542     6.73106 16.3593 2.65165e-06     196.268
53      516     6.57579 16.2757 2.65165e-06     140.336
54      562     5.29102 13.2725 2.65165e-06     231.723
55      518     6.27075 14.3058 2.65165e-06     137.321
56      517     6.14782 18.1057 2.65165e-06     306.22 
57      548     6.93071 20.1438 2.65165e-06     333.692
58      585     6.83733 23.0045 2.65165e-06     584.639
59      548     6.29773 15.6274 2.65165e-06     202.697
60      509     5.27797 13.4841 2.65165e-06     137.634
61      536     5.71345 12.345  2.65165e-06     112.268
62      565     6.54479 16.7666 2.65165e-06     245.319
63      553     6.86073 14.821  2.65165e-06     139.326
